a,b,c
3.361392793153959,1.1078868586478885,4.361472397871244
2.4403919962029184,3.224173508016558,2.660969481085587
4.127475870179482,0.47590810966765207,5.061517770265041
0.15723193813149072,2.058316194214692,0.6924775858946954
4.040249816824239,0.48432630631333573,5.690611941811731
2.828087098052653,0.7200549945384233,4.087187111330754
1.4881124935197199,1.060980876577785,2.006328152099214
0.23347860253476627,2.3832807722792997,0.5196311205081264
4.9531369973539805,0.3880691830000743,6.717494550896547
0.034128665218275955,1.1752189076226731,-0.1150426979512692
3.8489651409496988,0.0327650134058205,5.022163702600529
3.7338355049714984,4.4932209353619985,4.2235285196668615
1.887194681674826,2.761172134388316,2.688850513348988
2.4707372612048797,0.8377331385715175,3.502626444978409
4.644741960477896,4.644390917478679,5.281432271789198
1.9772702217291016,2.7104384940896105,2.0360232781236447
4.8697814841448,0.2087926564711995,6.095044362613411
2.6220735768762005,2.6243841998100645,2.781621526320931
0.4680654664887629,3.200712702571624,0.22546922305580686
4.066542063910645,4.0032908182320535,4.79769869282419
1.0584339279468176,4.174594258453052,1.3931818607846562
2.771728922953427,1.263161150761913,3.0892246977448976
1.461345579795808,4.841367563876419,1.0979356407292813
4.080711799935941,2.331190673549211,4.4795287121893255
4.140212831034057,1.32045584927436,5.578935119839327
